等级,类别,类别名称,细目,语法内容
七—九级,固定格式,,,视……而定
七—九级,固定格式,,,谈何……
七—九级,固定格式,,,无非/不过/只是……罢了/而已
七—九级,固定格式,,,想X之所想，急X之所急
七—九级,固定格式,,,向……致以……
七—九级,固定格式,,,要X有/没X，要Y有/没Y
七—九级,固定格式,,,因……而……
七—九级,固定格式,,,有何X
七—九级,固定格式,,,有什么+动词+头儿
七—九级,固定格式,,,（在）……之余
七—九级,固定格式,,,值此……之，……
七—九级,句子的类型,特殊句型,比较句,A+形容词+于/过+B
七—九级,句子的类型,简单复句,并列复句,一来……，二来……，三来……
七—九级,句子的类型,简单复句,并列复句,一则……，二则……，三则……
七—九级,句子的类型,简单复句,解说复句,所谓……，就是……
七—九级,句子的类型,简单复句,选择复句,或……，或……
七—九级,句子的类型,简单复句,选择复句,宁可/宁愿……，也不……
七—九级,句子的类型,简单复句,选择复句,与其……，宁愿/宁可……
七—九级,句子的类型,简单复句,转折复句,X（倒）是X（了），……
七—九级,句子的类型,简单复句,转折复句,别看……，……
七—九级,句子的类型,简单复句,转折复句,虽说……，但/可……
七—九级,句子的类型,简单复句,条件复句,无论……与否，都……
七—九级,句子的类型,简单复句,条件复句,凡……（者），均（可）……
七—九级,句子的类型,简单复句,假设复句,假若/假使……，……
七—九级,句子的类型,简单复句,假设复句,幸亏/幸好……，不然/否则……
七—九级,句子的类型,简单复句,假设复句,纵然/纵使……，也……
七—九级,句子的类型,简单复句,因果复句,（因）……，故……
七—九级,句子的类型,简单复句,因果复句,……，以至（于）……
七—九级,句子的类型,简单复句,递进复句,别说……，都/也……
七—九级,句子的类型,简单复句,递进复句,……不说，还……
七—九级,句子的类型,简单复句,递进复句,连……都……，更不用说……了
七—九级,句子的类型,简单复句,递进复句,……尚且……，（更）何况……
七—九级,句子的类型,简单复句,递进复句,……，更不用说……了
七—九级,句子的类型,简单复句,目的复句,为（了）……起见，……
七—九级,句子的类型,简单复句,目的复句,……，以……
七—九级,句子的类型,简单复句,紧缩复句,非得……才……
七—九级,句子的类型,简单复句,紧缩复句,任……也……
七—九级,句子的类型,多重复句,,多重并列复句
七—九级,句子的类型,多重复句,,多重转折复句
七—九级,句子的类型,多重复句,,多重假设复句
七—九级,句子的类型,多重复句,,多重因果复句
七—九级,句子的类型,多重复句,,多重递进复句
七—九级,语段（句群）,,,时间顺序
七—九级,语段（句群）,,,空间顺序
七—九级,语段（句群）,,,逻辑顺序
七—九级,语段（句群）,,,话题延伸
七—九级,语段（句群）,,,话题转换
七—九级,语段（句群）,,,承前省略
七—九级,语段（句群）,,,蒙后省略
